"","INSEE","NAME","DPT","REG2016","POP","winT1","ABST1","PCFNT1","PCFNT1INSCRITS","ABST2","PCFNT2","winnerT2","DIFF_ABS","DIFF_PCFN"
"17891","47033","Boudy-de-Beauregard","47",75,414,"GAUCHE",49.12,23.53,11.31,37.46,20.73,"GAUCHE",-11.66,-2.8
"17892","47034","Bouglon","47",75,607,"LFN",43.9,34.66,18.63,37.47,39.44,"LFN",-6.43,4.78
"17893","47035","Bourgougnague","47",75,263,"LFN",39.18,30.91,17.53,33.51,31.67,"GAUCHE",-5.67,0.760000000000002
"17894","47036","Bourlens","47",75,350,"LFN",44.32,32.35,16.67,35.23,35.85,"LFN",-9.09,3.5
"17895","47037","Bournel","47",75,257,"LFN",39.1,38.2,21.79,38.46,36.96,"LFN",-0.640000000000001,-1.24
"17896","47038","Bourran","47",75,579,"LFN",43.26,36.04,18.6,33.02,32.97,"LUD",-10.24,-3.07
"17897","47039","Boussès","47",75,42,"GAUCHE",50,10,4.76,47.62,5,"GAUCHE",-2.38,-5
"17898","47040","Brax","47",75,1946,"LFN",38.92,29.67,17.23,30.89,29.56,"GAUCHE",-8.03,-0.110000000000003
"17899","47041","Bruch","47",75,784,"DROITE",45.68,32.11,16.93,37.39,28.95,"LUD",-8.29,-3.16
"17900","47042","Brugnac","47",75,193,"LFN",39.73,32.93,18.49,34.93,24.44,"GAUCHE",-4.8,-8.49
"17901","47043","Buzet-sur-Baïse","47",75,1311,"LFN",49.21,34.9,16.44,41.73,36.72,"LFN",-7.48,1.82
"17902","47044","Cahuzac","47",75,294,"LFN",33.47,32.48,20.82,30.61,35.06,"GAUCHE",-2.86,2.58000000000001
"17903","47045","Calignac","47",75,512,"LFN",36.05,30.04,17.63,34.21,29.22,"GAUCHE",-1.84,-0.82
"17904","47046","Calonges","47",75,601,"LFN",49.88,40.7,19.61,42.62,37.95,"GAUCHE",-7.26000000000001,-2.75
"17905","47047","Cambes","47",75,170,"DROITE",38.76,22.22,12.4,31.78,22.5,"GAUCHE",-6.98,0.280000000000001
"17906","47048","Cancon","47",75,1330,"LFN",44.57,36.25,19.29,34.7,33.21,"GAUCHE",-9.87,-3.04
"17907","47049","Casseneuil","47",75,2334,"LFN",49.85,32.88,15.54,41.91,31.03,"GAUCHE",-7.94,-1.85
"17908","47050","Cassignas","47",75,115,"LFN",32.63,39.34,25.26,27.37,40.58,"LFN",-5.26,1.23999999999999
"17909","47051","Castelculier","47",75,2354,"LFN",44.36,33.23,17.65,36.33,33.11,"GAUCHE",-8.03,-0.119999999999997
"17910","47052","Casteljaloux","47",75,4662,"LFN",47.34,28.12,13.93,39.56,26.11,"LUD",-7.78,-2.01
"17911","47053","Castella","47",75,343,"LFN",48.28,33.33,16.09,35.63,38,"LFN",-12.65,4.67
"17912","47054","Castelmoron-sur-Lot","47",75,1724,"LFN",48.65,32.38,15.76,39.33,29.57,"GAUCHE",-9.32,-2.81
"17913","47055","Castelnaud-de-Gratecambe","47",75,517,"LFN",37.57,39.51,22.88,31.64,40.77,"LFN",-5.93,1.26000000000001
"17914","47056","Castelnau-sur-Gupie","47",75,835,"LFN",43.88,35.31,18.66,38.51,33.42,"GAUCHE",-5.37,-1.89
"17915","47057","Castillonnès","47",75,1407,"DROITE",43.39,26.35,14.18,38.56,24.55,"LUD",-4.83,-1.8
"17916","47058","Caubeyres","47",75,243,"LFN",37.65,39.36,21.76,32.35,35.78,"GAUCHE",-5.3,-3.58
"17917","47059","Caubon-Saint-Sauveur","47",75,239,"LFN",44.19,30.53,16.86,33.72,28.04,"GAUCHE",-10.47,-2.49
"17918","47060","Caudecoste","47",75,955,"LFN",45.25,42.33,22.01,38.24,39.57,"LFN",-7.01,-2.76
"17919","47061","Caumont-sur-Garonne","47",75,639,"LFN",46.73,42.23,21.63,37.76,36.79,"LFN",-8.97,-5.44
"17920","47062","Cauzac","47",75,402,"LFN",41.84,36.36,20.41,34.69,32.78,"GAUCHE",-7.15000000000001,-3.58
"17921","47063","Cavarc","47",75,151,"LFN",41.32,33.33,18.18,28.93,33.33,"GAUCHE",-12.39,0
"17922","47064","Cazideroque","47",75,233,"GAUCHE",38.46,23.15,12.82,28.72,12.88,"GAUCHE",-9.74,-10.27
"17923","47065","Clairac","47",75,2505,"LFN",46.25,30.28,15.58,39.71,29.31,"GAUCHE",-6.54,-0.970000000000002
"17924","47066","Clermont-Dessous","47",75,800,"LFN",47.32,32.48,16.59,43.49,31.61,"GAUCHE",-3.83,-0.869999999999997
"17925","47067","Clermont-Soubiran","47",75,369,"LFN",46.85,42.17,21.02,33.93,40.38,"LFN",-12.92,-1.79
"17926","47068","Cocumont","47",75,1043,"LFN",41.72,33.63,18.56,33.87,35.02,"GAUCHE",-7.85,1.39
"17927","47069","Colayrac-Saint-Cirq","47",75,2867,"LFN",45.79,36.82,18.96,36.82,36.25,"LFN",-8.97,-0.57
"17928","47070","Condezaygues","47",75,857,"GAUCHE",40.9,28.46,15.75,33.53,30.93,"GAUCHE",-7.37,2.47
"17929","47071","Coulx","47",75,257,"LFN",36.31,30.56,18.44,27.93,31.45,"LUD",-8.38,0.890000000000001
"17930","47072","Courbiac","47",75,118,"DROITE",42.22,30.61,16.67,31.11,40.68,"LFN",-11.11,10.07
"17931","47073","Cours","47",75,203,"DROITE",40.88,26.88,15.72,28.3,23.36,"GAUCHE",-12.58,-3.52
