"","INSEE","ABST2","PCFNT2","winnerT2"
"515","02098",34.74,46.11,"LUD"
"516","02099",50.57,50.65,"LFN"
"517","02100",25.49,54.05,"LFN"
"518","02101",30.77,54.44,"LFN"
"519","02102",26.97,40.95,"LUD"
"520","02103",35.31,53.03,"LFN"
"521","02104",26.58,27.27,"LUD"
"522","02105",30.52,52.53,"LFN"
"523","02106",38.91,49.61,"LUD"
"524","02107",28.99,63.27,"LFN"
"525","02108",22.69,25.32,"LUD"
"526","02109",29.67,49.79,"LUD"
"527","02110",38.43,47.88,"LUD"
"528","02111",40.68,55.82,"LFN"
"529","02112",32.94,54.66,"LFN"
"530","02114",33.4,45.71,"LUD"
"531","02115",29.8,44.21,"LUD"
"532","02116",40.32,42.47,"LUD"
"533","02117",33.33,68.29,"LFN"
"534","02118",34.48,50,"LUD"
"535","02119",31.03,56.46,"LFN"
"536","02120",27.75,52.46,"LFN"
"537","02121",33.94,59.8,"LFN"
"538","02122",31.82,22.22,"LUD"
"539","02123",21.36,53.55,"LFN"
"540","02124",26.16,45.04,"LUD"
"541","02125",27.63,39.25,"LUD"
"542","02126",43.65,47.75,"LUD"
"543","02127",35.17,59.52,"LFN"
"544","02128",32.6,34.73,"LUD"
"545","02129",17.39,12.5,"LUD"
"546","02130",23.75,51.82,"LFN"
"547","02131",34.77,49.16,"LUD"
"548","02132",22.22,33.33,"LUD"
"549","02133",32.3,47.85,"LUD"
"550","02134",39.17,45.95,"LUD"
"551","02135",34.9,52.15,"LFN"
"552","02136",42.74,55.71,"LFN"
"553","02137",36.71,40.82,"LUD"
"554","02138",26.22,52.1,"LFN"
"555","02139",29.23,58.33,"LFN"
"556","02140",34.66,53.43,"LFN"
"557","02141",38.22,47.9,"LUD"
"558","02142",29,49.61,"LUD"
"559","02143",23.53,58.42,"LFN"
"560","02144",23.53,34.67,"LUD"
"561","02145",26.73,49.65,"LUD"
"562","02146",30.43,38.64,"LUD"
"563","02147",36.63,39.34,"LUD"
"564","02148",30.1,66.93,"LFN"
"565","02149",15.09,40.48,"LUD"
"566","02150",43.33,73.33,"LFN"
"567","02151",21.35,31.75,"LUD"
"568","02152",31.71,55.56,"LFN"
"569","02153",26.78,42.13,"LUD"
"570","02154",35.37,58.62,"LFN"
"571","02155",29.08,43.68,"LUD"
"572","02156",35.06,46.88,"LUD"
"573","02157",24.62,39.69,"LUD"
"574","02158",33.53,40,"LUD"
"575","02159",41.63,50,"LUD"
"576","02160",41.23,48.97,"LUD"
"577","02161",31.37,46.39,"LUD"
"578","02162",31.38,65.55,"LFN"
"579","02163",37.29,43.89,"LUD"
"580","02164",23.21,60,"LFN"
"581","02165",37.47,48.62,"LUD"
"582","02166",44.49,42.65,"LUD"
"583","02167",38.67,55.33,"LFN"
"584","02168",48.38,34.32,"LUD"
"585","02169",43.9,65.12,"LFN"
"586","02170",31.91,47.37,"LUD"
"587","02171",24.68,51.72,"LFN"
"588","02172",38.15,44.66,"LUD"
"589","02173",47.33,43.58,"LUD"
"590","02174",36.24,48.56,"LUD"
"591","02175",23.85,61.11,"LFN"
"592","02176",31.41,59,"LFN"
"593","02177",33.91,35.21,"LUD"
"594","02178",23.08,50.82,"LFN"
"595","02179",35.54,50,"LUD"
"596","02180",31.46,45.43,"LUD"
"597","02181",35.62,63.64,"LFN"
"598","02182",35.94,59.72,"LFN"
"599","02183",33.13,55.21,"LFN"
"600","02184",36.99,65.38,"LFN"
"601","02185",29.89,52.2,"LFN"
