"","lepen","sarkozy","hollande","INSEE","PCwinner","winner"
"5472",17.16,25.75,35.07,"15252",35.07,"hollande"
"5473",13.56,18.64,42.37,"15253",42.37,"hollande"
"5474",11.11,22.22,42.74,"15254",42.74,"hollande"
"5475",18,27.25,31,"15255",31,"hollande"
"5476",11.86,40.68,25.42,"15256",40.68,"sarkozy"
"5477",31.48,24.07,33.33,"15257",33.33,"hollande"
"5478",16.6,30.55,30.48,"15258",30.55,"sarkozy"
"5479",19.31,29.21,22.28,"15259",29.21,"sarkozy"
"5480",23.75,32.5,21.25,"15260",32.5,"sarkozy"
"5481",12.76,28.34,31.01,"15261",31.01,"hollande"
"5482",13.43,27.11,28.36,"15262",28.36,"hollande"
"5483",13.39,34.82,22.32,"15263",34.82,"sarkozy"
"5484",16.92,29.35,26.37,"15264",29.35,"sarkozy"
"5485",14.84,20.65,41.87,"15265",41.87,"hollande"
"5486",13.65,22.05,39.63,"15266",39.63,"hollande"
"5487",13.84,23.78,36.3,"15267",36.3,"hollande"
"5488",16.31,25.61,37.68,"15268",37.68,"hollande"
"5489",15.31,20.41,39.8,"15269",39.8,"hollande"
"5490",21.07,24.08,29.43,"16001",29.43,"hollande"
"5491",22.5,14.29,33.93,"16002",33.93,"hollande"
"5492",23.51,21.77,30.44,"16003",30.44,"hollande"
"5493",17.1,23.32,36.79,"16004",36.79,"hollande"
"5494",19.22,34.4,27.49,"16005",34.4,"sarkozy"
"5495",13.15,20.8,34.25,"16007",34.25,"hollande"
"5496",21.82,20.45,25.45,"16008",25.45,"hollande"
"5497",20.16,16.87,32.51,"16009",32.51,"hollande"
"5498",13.89,35.19,24.07,"16010",35.19,"sarkozy"
"5499",20.12,22.22,26.43,"16011",26.43,"hollande"
"5500",17.85,26.46,29.23,"16012",29.23,"hollande"
"5501",18.82,27.68,24.72,"16013",27.68,"sarkozy"
"5502",36,25.33,29.33,"16014",36,"lepen"
"5503",13.08,24.98,35.57,"16015",35.57,"hollande"
"5504",16.38,15.85,39.55,"16016",39.55,"hollande"
"5505",12.1,17.74,43.55,"16017",43.55,"hollande"
"5506",21.67,29.42,23.06,"16018",29.42,"sarkozy"
"5507",21.33,24,32.97,"16019",32.97,"hollande"
"5508",17.48,30.77,25.87,"16020",30.77,"sarkozy"
"5509",25.53,38.3,15.96,"16021",38.3,"sarkozy"
"5510",16.9,29.11,31.92,"16023",31.92,"hollande"
"5511",21,24.45,29.15,"16024",29.15,"hollande"
"5512",19.52,27.71,26.95,"16025",27.71,"sarkozy"
"5513",14.99,20.84,41.12,"16026",41.12,"hollande"
"5514",26.61,11.01,22.02,"16027",26.61,"lepen"
"5515",16.32,24.64,33.33,"16028",33.33,"hollande"
"5516",21.08,22.89,28.31,"16029",28.31,"hollande"
"5517",18.93,22.98,30.26,"16030",30.26,"hollande"
"5518",16.67,22.1,28.62,"16031",28.62,"hollande"
"5519",17.99,24.09,34.45,"16032",34.45,"hollande"
"5520",21.05,23.68,38.16,"16033",38.16,"hollande"
"5521",20.83,35.42,33.33,"16034",35.42,"sarkozy"
"5522",19.21,25.99,25.42,"16035",25.99,"sarkozy"
"5523",17.9,22.22,32.72,"16036",32.72,"hollande"
"5524",8.7,32.61,26.09,"16037",32.61,"sarkozy"
"5525",14.73,16.52,37.95,"16038",37.95,"hollande"
"5526",19.93,22.64,32.77,"16039",32.77,"hollande"
"5527",18.44,20.11,33.52,"16040",33.52,"hollande"
